ID_Proyek,Nama_Proyek,Sektor_Proyek,Status_Proyek,Durasi_Konsesi_Tahun,Nilai_Investasi_Total_IDR,Target_Dana_Tokenisasi_IDR,Persentase_Tokenisasi,Jenis_Token_Utama,Token_Risk_Level_Ordinal,Token_Ada_Jaminan_Pokok,Token_Return_Berbasis_Kinerja,Dok_Studi_Kelayakan,Dok_Laporan_Keuangan_Audit,Dok_Peringkat_Kredit,Profil_Risiko
PROJ029,Klinik Pratama Sehat Medika,Kesehatan,Operasi,29,1000000000,200000000,0.2,Hibrida,2,1,1,1,0,0,Menengah
PROJ030,RS Ibu dan Anak Harapan Bunda,Kesehatan,Operasi,17,2000000000,1360000000,0.68,Ekuitas,4,0,1,1,1,0,Tinggi
PROJ031,Flyover Gatot Subroto Medan,Jalan & Jembatan,Operasi,25,1000000000,100000000,0.1,Hibrida,2,1,1,1,0,1,Menengah
PROJ032,PLTA Asahan III,Energi,Konstruksi,38,10000000000,1700000000,0.17,Utang,1,1,0,1,0,1,Rendah
PROJ033,Kampus II PENS Surabaya,Pendidikan,Operasi,39,1000000000,100000000,0.1,Ekuitas,4,0,1,1,1,0,Menengah
PROJ034,LRT Kelapa Gading - Velodrome Fase 2,Transportasi,Studi Kelayakan,13,1000000000,210000000,0.21,Ekuitas,4,0,1,1,0,0,Menengah
PROJ035,Waste-to-Energy (WTE) Legok Nangka,Energi,Konstruksi,24,1000000000,600000000,0.6,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ036,Labkesda Provinsi Jawa Tengah,Kesehatan,Konstruksi,25,1000000000,260000000,0.26,Ekuitas,4,0,1,1,0,0,Menengah
PROJ037,Terminal Tipe A Amplas Medan,Transportasi,Operasi,27,1000000000,680000000,0.68,Hak Pendapatan,3,0,1,1,1,0,Tinggi
PROJ038,PLTB Sidrap Tahap II,Energi,Konstruksi,23,1000000000,240000000,0.24,Ekuitas,4,0,1,1,0,0,Menengah
PROJ039,Pelabuhan Hub Internasional Kuala Tanjung,Transportasi,Operasi,32,1000000000,250000000,0.25,Ekuitas,4,0,1,1,0,0,Menengah
PROJ040,Jaringan Transmisi 500 kV Sumatera,Energi,Operasi,14,1000000000,600000000,0.6,Utang,1,1,0,1,1,1,Rendah
PROJ041,PLTGU Jawa-1,Energi,Konstruksi,33,1000000000,110000000,0.11,Ekuitas,4,0,1,1,0,0,Menengah
PROJ042,RS Internasional Sanur Bali,Kesehatan,Pra-Studi Kelayakan,13,1000000000,320000000,0.32,Utang,1,1,0,0,0,0,Sangat Tinggi
PROJ043,PLTMH Sungai Citarik,Energi,Konstruksi,11,1000000000,370000000,0.37,Hibrida,2,1,1,1,0,1,Menengah
PROJ044,Polder Pengendali Banjir Pekalongan,Air & Sanitasi,Studi Kelayakan,17,1000000000,670000000,0.67,Hak Pendapatan,3,0,1,1,0,0,Tinggi
PROJ045,Revitalisasi Waduk Gajah Mungkur,Air & Sanitasi,Operasi,28,1000000000,430000000,0.43,Ekuitas,4,0,1,1,1,0,Menengah
PROJ046,Pembangkit Panas Bumi Patuha Unit 2,Energi,Studi Kelayakan,15,1000000000,380000000,0.38,Hibrida,2,1,1,1,0,0,Menengah
PROJ047,SPAM Karian-Serpong,Air & Sanitasi,Operasi,39,1000000000,530000000,0.53,Hibrida,2,1,1,1,1,0,Tinggi
PROJ048,Bandara Dhoho Kediri,Transportasi,Studi Kelayakan,28,1000000000,200000000,0.2,Hibrida,2,1,1,1,0,0,Menengah
PROJ049,Satelit SATRIA-2,Telekomunikasi,Konstruksi,36,1000000000,680000000,0.68,Hibrida,2,1,1,1,0,0,Tinggi
PROJ050,PLTS Terapung Singkarak,Energi,Studi Kelayakan,21,1000000000,460000000,0.46,Ekuitas,4,0,1,1,0,0,Menengah
PROJ051,Revitalisasi SMK Pusat Keunggulan Jateng,Pendidikan,Konstruksi,17,1000000000,190000000,0.19,Hak Pendapatan,3,0,1,1,0,0,Menengah
PROJ052,Instalasi Pengolahan Lumpur Tinja (IPLT) Surabaya,Air & Sanitasi,Operasi,36,1000000000,360000000,0.36,Hibrida,2,1,1,1,1,1,Menengah
PROJ053,Gedung Perkuliahan Terpadu Undip,Pendidikan,Konstruksi,25,1000000000,360000000,0.36,Utang,1,1,0,1,0,0,Rendah
PROJ054,Asrama Mahasiswa Nusantara Makassar,Pendidikan,Pra-Studi Kelayakan,23,1000000000,320000000,0.32,Ekuitas,4,0,1,0,0,0,Sangat Tinggi
PROJ055,Underpass Simpang Lima Semarang,Jalan & Jembatan,Operasi,21,1000000000,100000000,0.1,Hak Pendapatan,3,0,1,1,1,0,Menengah
PROJ056,Waste-to-Energy (WTE) Sunter,Energi,Studi Kelayakan,39,1000000000,310000000,0.31,Utang,1,1,0,1,0,0,Menengah
PROJ057,PLT Panas Bumi Sorik Marapi,Energi,Konstruksi,24,1000000000,350000000,0.35,Utang,1,1,0,1,0,1,Rendah
PROJ058,Klinik Cuci Darah Nasional Cab. Bandung,Kesehatan,Operasi,23,1000000000,130000000,0.13,Hibrida,2,1,1,1,1,0,Menengah
PROJ059,Kereta Semi-Cepat Jakarta-Bandung,Transportasi,Pra-Studi Kelayakan,30,1000000000,240000000,0.24,Hak Pendapatan,3,0,1,0,0,0,Sangat Tinggi
PROJ060,Revitalisasi Pelabuhan Tanjung Priok,Transportasi,Studi Kelayakan,17,1000000000,280000000,0.28,Utang,1,1,0,1,0,0,Menengah
PROJ061,Jaringan Air Limbah Terpadu Medan,Air & Sanitasi,Konstruksi,17,1000000000,680000000,0.68,Hibrida,2,1,1,1,0,0,Tinggi
PROJ062,Data Center Nasional Cikarang,Telekomunikasi,Studi Kelayakan,26,1000000000,640000000,0.64,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ063,Pembangunan Sekolah Vokasi Maritim,Pendidikan,Konstruksi,35,1000000000,340000000,0.34,Utang,1,1,0,1,0,0,Rendah
PROJ064,RSUD Tipe D Kabupaten Sleman,Kesehatan,Studi Kelayakan,20,1000000000,220000000,0.22,Hak Pendapatan,3,0,1,1,0,0,Menengah
PROJ065,Jaringan 5G Ibu Kota Nusantara (IKN),Telekomunikasi,Konstruksi,24,1000000000,680000000,0.68,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ066,LRT Bali Fase 1,Transportasi,Konstruksi,32,1000000000,430000000,0.43,Ekuitas,4,0,1,1,0,0,Menengah
PROJ067,Palapa Ring Integrasi Barat,Telekomunikasi,Operasi,21,1000000000,420000000,0.42,Hibrida,2,1,1,1,1,1,Menengah
PROJ068,SPAM Regional Metro Bandung,Air & Sanitasi,Konstruksi,21,1000000000,420000000,0.42,Hibrida,2,1,1,1,0,1,Menengah
PROJ069,PLTS Terapung Waduk Jatigede,Energi,Pra-Studi Kelayakan,26,1000000000,610000000,0.61,Hak Pendapatan,3,0,1,0,0,0,Sangat Tinggi
PROJ070,Tol Akses Pelabuhan Patimban,Transportasi,Operasi,25,1000000000,460000000,0.46,Utang,1,1,0,1,1,1,Rendah
PROJ071,PLT Panas Bumi Rantau Dedap,Energi,Studi Kelayakan,15,1000000000,680000000,0.68,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ072,Modernisasi Irigasi Rentang,Air & Sanitasi,Studi Kelayakan,13,1000000000,150000000,0.15,Hak Pendapatan,3,0,1,1,0,0,Menengah
PROJ073,Digitalisasi Kampus UGM,Pendidikan,Operasi,25,1000000000,100000000,0.1,Ekuitas,4,0,1,1,1,0,Menengah
PROJ074,Asrama Mahasiswa Nusantara Yogyakarta,Pendidikan,Pra-Studi Kelayakan,25,1000000000,280000000,0.28,Ekuitas,4,0,1,0,0,0,Sangat Tinggi
PROJ075,BTS USO Terdepan Natuna,Telekomunikasi,Studi Kelayakan,29,1000000000,560000000,0.56,Ekuitas,4,0,1,1,0,0,Tinggi
PROJ076,Revitalisasi SMK Pertanian Nasional,Pendidikan,Operasi,24,1000000000,290000000,0.29,Hibrida,2,1,1,1,0,0,Menengah
PROJ077,RS Kanker Dharmais Extention,Kesehatan,Konstruksi,17,1000000000,130000000,0.13,Hibrida,2,1,1,1,0,0,Menengah
PROJ078,Jaringan Air Limbah Terpadu Palembang,Air & Sanitasi,Studi Kelayakan,33,1000000000,410000000,0.41,Ekuitas,4,0,1,1,0,0,Menengah
PROJ079,Pelabuhan New Ambon,Transportasi,Konstruksi,39,1000000000,400000000,0.4,Hibrida,2,1,1,1,0,0,Menengah
PROJ080,Kampus III UIN Walisongo,Pendidikan,Operasi,28,1000000000,200000000,0.2,Ekuitas,4,0,1,1,1,0,Menengah
PROJ081,Tol Solo-Yogyakarta-Kulon Progo,Jalan & Jembatan,Konstruksi,18,1000000000,140000000,0.14,Utang,1,1,0,1,0,0,Rendah
PROJ082,PLT Panas Bumi Sarulla,Energi,Konstruksi,31,1000000000,160000000,0.16,Utang,1,1,0,1,0,0,Rendah
PROJ083,Terminal Peti Kemas Kalibaru,Transportasi,Operasi,24,1000000000,110000000,0.11,Hibrida,2,1,1,1,1,1,Rendah
PROJ084,PLTGU Muara Karang,Energi,Konstruksi,26,1000000000,210000000,0.21,Utang,1,1,0,1,0,1,Rendah
PROJ085,Fiberisasi Jaringan Nasional Sumatera,Telekomunikasi,Konstruksi,11,1000000000,530000000,0.53,Hibrida,2,1,1,1,0,0,Tinggi
PROJ086,Satelit Nusantara Lima,Telekomunikasi,Operasi,13,1000000000,230000000,0.23,Hak Pendapatan,3,0,1,1,1,0,Menengah
PROJ087,Bandara Kertajati Extention,Transportasi,Operasi,39,1000000000,200000000,0.2,Ekuitas,4,0,1,1,1,0,Menengah
PROJ088,PLT Panas Bumi Lahendong,Energi,Pra-Studi Kelayakan,39,1000000000,650000000,0.65,Utang,1,1,0,0,0,0,Sangat Tinggi
PROJ089,Jembatan Musi VI Palembang,Jalan & Jembatan,Konstruksi,34,1000000000,320000000,0.32,Utang,1,1,0,1,0,1,Rendah
PROJ090,Waste-to-Energy (WTE) Putri Cempo Solo,Energi,Studi Kelayakan,26,1000000000,680000000,0.68,Hibrida,2,1,1,1,0,0,Tinggi
PROJ091,Gedung Perkuliahan Terpadu Unair,Pendidikan,Operasi,18,1000000000,340000000,0.34,Hibrida,2,1,1,1,1,1,Menengah
PROJ092,RSUD Tipe D Kota Tegal,Kesehatan,Konstruksi,23,1000000000,610000000,0.61,Hak Pendapatan,3,0,1,1,0,0,Tinggi
PROJ093,SPAM Regional Semarang Barat,Air & Sanitasi,Studi Kelayakan,20,1000000000,430000000,0.43,Hibrida,2,1,1,1,0,0,Menengah
PROJ094,PLTS Likupang,Energi,Operasi,21,1000000000,560000000,0.56,Hibrida,2,1,1,1,1,0,Tinggi
PROJ095,Tol Bocimi Seksi 3,Jalan & Jembatan,Pra-Studi Kelayakan,24,1000000000,280000000,0.28,Utang,1,1,0,0,0,0,Sangat Tinggi
PROJ096,PLT Panas Bumi Muara Laboh,Energi,Konstruksi,22,1000000000,100000000,0.1,Ekuitas,4,0,1,1,0,0,Menengah
PROJ097,RSUD Tipe C Kabupaten Temanggung,Kesehatan,Konstruksi,17,1000000000,380000000,0.38,Ekuitas,4,0,1,1,0,0,Menengah
PROJ098,Tol Lingkar Pekanbaru,Jalan & Jembatan,Studi Kelayakan,24,1000000000,650000000,0.65,Hibrida,2,1,1,1,0,0,Tinggi
PROJ099,Bandara Singkawang,Transportasi,Operasi,39,1000000000,390000000,0.39,Ekuitas,4,0,1,1,1,0,Menengah
PROJ100,PLTGU Tambak Lorok,Energi,Studi Kelayakan,31,1000000000,400000000,0.4,Hibrida,2,1,1,1,0,0,Menengah
